Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1648.8343931588697,OUT049
FDW14,1363.2869297499897,OUT017
NCN55,575.8082964155747,OUT010
FDQ58,2470.955380924091,OUT017
FDY38,5836.346330186971,OUT027
FDH56,1937.043223833264,OUT046
FDL48,763.4521837684578,OUT018
FDC48,2110.107781909528,OUT027
FDN33,1512.0900016270687,OUT045
FDA36,3108.825083062489,OUT017
FDT44,1935.8791073633424,OUT017
FDQ56,1356.5314964031206,OUT045
NCC54,576.2751187047596,OUT019
FDU11,2012.7120453424247,OUT049
DRL59,862.9319417476529,OUT013
FDM24,2458.2732400775817,OUT049
FDI57,3052.1242926603463,OUT045
DRC12,2964.0026754704136,OUT018
NCM42,2925.274176578765,OUT027
FDA46,503.874955328159,OUT010
FDA31,2837.309123864075,OUT013
NCJ31,3865.564987258713,OUT035
FDG52,786.8356389272042,OUT046
NCL19,285.4428536012471,OUT019
FDS10,2995.8529723879574,OUT035
FDX22,565.0447133024469,OUT010
NCF19,759.5978711110869,OUT035
NCE06,2540.784279406672,OUT046
DRC27,3895.6285325155063,OUT046
FDE21,1962.0489208879164,OUT035
NCR42,131.37393037739096,OUT019
FDX51,3002.051379207228,OUT018
NCR06,617.5865426380341,OUT018
FDU31,5836.346330186971,OUT027
FDU59,2539.327058001969,OUT017
FDR03,5837.6744665387205,OUT027
FDS49,2047.426259211167,OUT027
FDD48,265.835207518221,OUT010
NCF18,3025.9421975094297,OUT017
NCD43,2868.354752794711,OUT027
NCD54,2119.225970912965,OUT018
FDY19,266.60570981263027,OUT010
NCY54,2853.792287644757,OUT017
NCL19,2441.804948276987,OUT018
FDP23,573.1163261454502,OUT010
FDC26,1750.431837133263,OUT013
FDR14,131.37393037739096,OUT010
NCS41,3126.789881790551,OUT035
FDF41,3899.581501333391,OUT035
FDU34,2048.717497819003,OUT046
DRH11,970.4654479494565,OUT046
FDM03,1649.1546334744482,OUT013
FDS31,3066.5185338493193,OUT017
FDJ20,2000.0106637515858,OUT017
FDV44,5201.072414848592,OUT027
FDG02,3128.0082048227946,OUT049
FDA09,2997.2569438915802,OUT013
FDT04,698.3178304121212,OUT013
FDL58,574.5502120430813,OUT019
FDE52,1382.264448144596,OUT045
FDW12,2499.0797148535644,OUT035
FDL51,3670.9438442758087,OUT017
NCY42,3000.474150339493,OUT027
FDR07,1540.769391937595,OUT017
FDN40,2463.1808533534386,OUT045
FDB35,2684.09809153605,OUT027
FDA22,2535.4376303356844,OUT017
NCL06,4131.207371278038,OUT046
FDI35,3068.3986935629987,OUT013
NCW42,3759.4891824973897,OUT045
NCX06,3002.6786446674564,OUT049
FDC37,2902.8223159385198,OUT027
FDZ14,1949.2123565676975,OUT018
DRG49,3871.3736679375406,OUT049
NCG06,4102.757576442713,OUT045
DRC36,2857.9059923608434,OUT045
FDV21,280.3828787038555,OUT019
FDB53,2495.2762768234215,OUT046
DRP47,574.1263162120147,OUT019
FDA14,2457.935725013427,OUT013
DRC24,2542.7051316952734,OUT035
FDW21,1618.4738727004255,OUT018
NCH29,1545.327334078477,OUT046
FDU58,3101.9728402436103,OUT013
FDY27,2866.488484836597,OUT017
FDV56,1659.730198819429,OUT035
FDT59,3815.118904815947,OUT046
FDB23,3785.348383618114,OUT046
FDR49,761.4541708816753,OUT045
FDB03,576.6536379297543,OUT010
FDN39,2622.5403417935754,OUT045
FDX02,5837.6744665387205,OUT027
FDQ16,2899.8289433880254,OUT027
FDU35,1553.4116725341128,OUT018
NCT29,2014.1836398705295,OUT013
FDZ27,787.2626342794791,OUT046
FDN57,2040.5892660136437,OUT017
FDA03,2433.745739293923,OUT018
FDZ36,3130.6092683614215,OUT045
NCU05,1395.3009148033982,OUT013
FDT39,2398.845849725068,OUT018
FDK60,1541.2079244620181,OUT017
FDZ25,2767.5603716289083,OUT017
FDG12,2074.0735552780593,OUT046
DRB01,496.07246470707935,OUT019
NCC43,5839.35098034104,OUT027
FDX13,572.4938226961126,OUT019
FDM22,873.453330308078,OUT049
FDJ03,1085.776838405374,OUT027
FDU14,3771.3558962627194,OUT018
FDB33,380.21936603151806,OUT010
FDP27,3123.7642118376143,OUT046
FDO38,155.07400631101328,OUT010
FDE28,5837.6744665387205,OUT027
FDO27,1511.3956885423434,OUT035
DRL23,2895.8756724954583,OUT027
FDS28,968.9429155058283,OUT046
FDX24,1463.514092307346,OUT013
FDZ02,1539.2779137853377,OUT035
FDL46,1921.8002622090512,OUT045
FDS60,4824.251471402773,OUT027
NCO06,594.7052465707006,OUT017
FDO16,1352.533643906129,OUT035
FDC60,1359.6424138549323,OUT049
FDA48,3435.36957080338,OUT018
FDZ36,5197.9803781274395,OUT027
FDK27,2040.8015003653363,OUT045
FDW23,604.4414300916012,OUT018
FDM14,1692.4376661535216,OUT018
FDM14,1653.6234879895499,OUT013
FDW60,2833.061270250122,OUT018
FDE21,1973.6481111069068,OUT013
NCM42,1662.859917891355,OUT035
FDY59,228.97239612603798,OUT010
DRI49,1294.5618234317812,OUT049
FDT28,363.453007525499,OUT019
FDQ22,606.4030286628097,OUT018
FDR60,1264.8190319622686,OUT049
FDC50,238.23668570319543,OUT019
FDV24,2408.193848967788,OUT013
DRF48,485.84267622034963,OUT010
FDQ47,634.8099530030909,OUT046
DRN36,1538.7849504265707,OUT049
NCY06,2027.4828631293017,OUT035
FDE52,1381.198370202718,OUT035
NCB54,2017.9982393916105,OUT045
NCF31,2504.906303035766,OUT035
FDJ08,5203.341396751307,OUT027
NCC07,1647.7503914403756,OUT017
NCD19,1258.0044697672897,OUT027
FDL46,1978.155401144157,OUT049
FDM20,4029.607474322028,OUT045
NCI06,449.6604604415303,OUT010
DRM11,4213.212911281594,OUT035
NCH07,2499.586467060368,OUT018
FDS23,2040.218883041657,OUT013
FDO49,763.2258609993098,OUT018
FDS35,1067.2166543583792,OUT049
DRK39,1340.37487752271,OUT045
DRI39,905.5572862509405,OUT049
FDV04,2522.0969430919113,OUT017
NCN14,3068.7430782672054,OUT035
FDH08,3743.989548086434,OUT013
FDS20,3152.8249532749246,OUT046
FDV40,1153.8613022373813,OUT049
FDZ48,256.79628892406686,OUT010
FDS24,2523.673684240571,OUT027
FDK44,2850.161580024382,OUT049
FDS48,2522.580368697667,OUT045
FDK26,487.3273794777492,OUT010
FDD23,3109.4105222532835,OUT045
NCH54,2590.7832460691984,OUT017
NCP14,240.62399497606302,OUT010
FDM60,131.37393037739096,OUT010
FDV24,2446.1222710339343,OUT017
FDH08,3512.648070158497,OUT018
FDS12,2979.6432945528104,OUT027
FDR39,4885.439626460778,OUT027
FDP12,1002.7599316274192,OUT027
DRF60,5837.6744665387205,OUT027
FDC09,1644.6014839217248,OUT035
FDF50,3021.1569503845067,OUT018
FDG28,4032.0263633943596,OUT035
NCE19,874.4060244820421,OUT017
NCM53,249.47299008181707,OUT010
NCN18,1728.0353227578337,OUT049
FDF32,3124.4655338743923,OUT035
FDF11,3960.2769842450866,OUT013
DRI59,3797.0009637559033,OUT049
NCG54,2782.9754186574723,OUT035
FDM44,1637.821581576544,OUT046
FDT57,3585.557481386861,OUT018
FDV24,2447.345189184209,OUT046
FDI50,574.1737478588796,OUT019
FDS09,771.6071461881065,OUT035
NCC31,4073.835024516512,OUT027
FDQ07,575.8062413747816,OUT019
FDC22,3125.8604652477356,OUT017
FDZ56,2765.2396538183307,OUT046
FDZ40,131.37393037739096,OUT019
FDS46,2940.604406565118,OUT027
DRD24,2062.9991714626494,OUT045
FDV45,3081.4659408701477,OUT017
FDL26,2524.231495397854,OUT045
FDA56,1993.6612775557255,OUT018
FDN27,1970.358089186558,OUT046
FDM20,3976.145913701037,OUT049
FDO16,1338.3354644692579,OUT017
FDL03,3002.861708669292,OUT035
FDE58,1955.067174204409,OUT046
FDI02,2931.70794497191,OUT027
NCC55,131.37393037739096,OUT019
FDR03,3248.127863576995,OUT018
FDB14,1441.4483893891802,OUT017
FDR45,3962.9383690333066,OUT013
NCN07,2045.1114119022268,OUT017
FDM51,249.26515545404513,OUT019
FDT52,5838.02284398929,OUT027
FDL26,2504.4828698100273,OUT046
NCZ42,3926.9893300405647,OUT046
DRI47,365.33106309503125,OUT019
FDW40,2082.1491367060307,OUT013
FDN34,2760.8069251238576,OUT046
FDS01,2946.072287857354,OUT035
NCG55,1931.831379739391,OUT045
FDC11,1356.7223753608955,OUT035
FDX35,3487.0228859630884,OUT018
NCB06,2581.0404441422475,OUT046
FDR09,574.5951935419927,OUT019
FDC53,1539.9337057340124,OUT017
FDY45,4113.917307979337,OUT013
FDA22,383.2465981448464,OUT010
FDE02,1509.6469576917218,OUT035
FDW21,1631.377455238661,OUT045
FDV34,1199.5099091729803,OUT046
FDS59,1660.2406551710856,OUT049
NCW17,2066.922098027161,OUT017
NCK54,1965.828603688947,OUT046
FDG17,574.1737478588796,OUT019
FDG35,2859.474375566997,OUT017
FDD08,131.37393037739096,OUT010
NCO07,3663.336521899155,OUT017
FDJ10,276.00664782055173,OUT010
FDW36,1645.3540418242378,OUT017
FDW21,239.54873124846233,OUT010
FDY19,1931.0338023206446,OUT017
DRE03,823.287110685224,OUT013
NCC55,640.2835859969238,OUT049
FDH52,134.32060082776908,OUT010
FDO09,4083.9341100065676,OUT017
FDU43,3975.131804075618,OUT045
FDX09,425.49624814043773,OUT010
FDH40,203.0242783345544,OUT019
FDW58,1646.2324259753464,OUT017
FDC47,3762.3131190151826,OUT017
NCR41,1490.8408616764057,OUT035
DRG49,3929.537444989126,OUT035
