Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1866.3816350085588,OUT049
FDW14,1586.1463435769517,OUT017
NCN55,1847.1204527665818,OUT010
FDQ58,2568.7262679791484,OUT017
FDY38,5123.721026822905,OUT027
FDH56,1932.8618486123578,OUT046
FDL48,648.467397777391,OUT018
FDC48,2795.64782005459,OUT027
FDN33,1529.2079227367767,OUT045
FDA36,3062.825639482942,OUT017
FDT44,2001.8874502613328,OUT017
FDQ56,1338.5621615022437,OUT045
NCC54,1831.9991783447417,OUT019
FDU11,2065.4551298725164,OUT049
DRL59,935.0358466605438,OUT013
FDM24,2547.909508280475,OUT049
FDI57,3063.3552876935873,OUT045
DRC12,2741.2077470343925,OUT018
NCM42,3195.3263866746015,OUT027
FDA46,1131.0359546026157,OUT010
FDA31,2789.427870922581,OUT013
NCJ31,3832.4104485802627,OUT035
FDG52,840.2611939398591,OUT046
NCL19,379.6514972640276,OUT019
FDS10,3001.963764167438,OUT035
FDX22,1452.3957944149693,OUT010
NCF19,966.9095111997258,OUT035
NCE06,2523.5645605490927,OUT046
DRC27,3798.1957047998267,OUT046
FDE21,2037.5016302274194,OUT035
NCR42,-1292.6959366009637,OUT019
FDX51,2849.7452452174716,OUT018
NCR06,478.94152218873694,OUT018
FDU31,4899.771015956827,OUT027
FDU59,2695.4851440185444,OUT017
FDR03,4705.628076875953,OUT027
FDS49,2765.9610581673865,OUT027
FDD48,-35.46854577809404,OUT010
NCF18,3094.8723035922562,OUT017
NCD43,3102.8701725633923,OUT027
NCD54,2001.1449781730605,OUT018
FDY19,0.5780179381702055,OUT010
NCY54,2794.404400664175,OUT017
NCL19,2022.9991589573053,OUT018
FDP23,1518.62874260142,OUT010
FDC26,1837.0794032629963,OUT013
FDR14,-972.5317978483035,OUT010
NCS41,3005.133017459507,OUT035
FDF41,3999.415667601918,OUT035
FDU34,2003.5416062472182,OUT046
DRH11,959.8183352004135,OUT046
FDM03,1743.4389799577268,OUT013
FDS31,2995.4522686510804,OUT017
FDJ20,2107.9452967137045,OUT017
FDV44,4453.72649500674,OUT027
FDG02,3089.4218880467247,OUT049
FDA09,2890.5931129683527,OUT013
FDT04,722.1205602352118,OUT013
FDL58,2251.3330873764357,OUT019
FDE52,1464.8034205973472,OUT045
FDW12,2501.851232410218,OUT035
FDL51,3518.993048949564,OUT017
NCY42,3676.899524548469,OUT027
FDR07,1687.4020173208312,OUT017
FDN40,2353.4406985649534,OUT045
FDB35,2966.6894096272476,OUT027
FDA22,2721.2037723773997,OUT017
NCL06,4055.588516621628,OUT046
FDI35,2900.142679251562,OUT013
NCW42,3379.616829696974,OUT045
NCX06,2930.2647598878266,OUT049
FDC37,3203.2169152984516,OUT027
FDZ14,1747.4408167512306,OUT018
DRG49,3907.1608581114197,OUT049
NCG06,3908.3383076317054,OUT045
DRC36,2706.931718928128,OUT045
FDV21,78.37236789485269,OUT019
FDB53,2344.1276627268157,OUT046
DRP47,1997.2979244369212,OUT019
FDA14,2348.553401631376,OUT013
DRC24,2563.1423009000464,OUT035
FDW21,1423.5563885717336,OUT018
NCH29,1566.8782101949782,OUT046
FDU58,3054.2739248559187,OUT013
FDY27,2909.8504632104496,OUT017
FDV56,1967.3928145661694,OUT035
FDT59,3614.740868194844,OUT046
FDB23,3582.4960770518587,OUT046
FDR49,735.8737041923558,OUT045
FDB03,1891.3659988534077,OUT010
FDN39,2607.3885364483385,OUT045
FDX02,4929.163973039762,OUT027
FDQ16,3194.0005595090824,OUT027
FDU35,1345.0650223607295,OUT018
NCT29,1975.0344391614296,OUT013
FDZ27,854.1910489956078,OUT046
FDN57,2350.0759983199646,OUT017
FDA03,2096.728010955361,OUT018
FDZ36,2903.688868925905,OUT045
NCU05,1357.063449379524,OUT013
FDT39,2192.5994311096333,OUT018
FDK60,1721.6517647346775,OUT017
FDZ25,2827.309744697761,OUT017
FDG12,2009.9255678486857,OUT046
DRB01,1099.1923195247841,OUT019
NCC43,5304.059966515524,OUT027
FDX13,2001.2663142792048,OUT019
FDM22,1072.276244880834,OUT049
FDJ03,2336.305757872029,OUT027
FDU14,3632.9210596852486,OUT018
FDB33,654.9507675558117,OUT010
FDP27,2987.515524178318,OUT046
FDO38,-616.3361350223552,OUT010
FDE28,5083.127013864216,OUT027
FDO27,1718.1067833005368,OUT035
DRL23,3168.59369826603,OUT027
FDS28,1002.574790099661,OUT046
FDX24,1564.9911737353575,OUT013
FDZ02,1769.9796650534436,OUT035
FDL46,1828.9853048707464,OUT045
FDS60,4268.208918092174,OUT027
NCO06,686.1889557711845,OUT017
FDO16,1557.4101189350072,OUT035
FDC60,1572.9675965451368,OUT049
FDA48,3164.916598848856,OUT018
FDZ36,4411.242195223109,OUT027
FDK27,1896.751578909796,OUT045
FDW23,435.8112257219624,OUT018
FDM14,1528.8201441632846,OUT018
FDM14,1804.3920332780965,OUT013
FDW60,2590.1486976717138,OUT018
FDE21,1927.1935652340615,OUT013
NCM42,1899.1720011232833,OUT035
FDY59,-344.64713692346214,OUT010
DRI49,1399.4989006565045,OUT049
FDT28,527.018538873053,OUT019
FDQ22,459.779801623567,OUT018
FDR60,1362.0618716080696,OUT049
FDC50,-361.1140290961876,OUT019
FDV24,2433.4665416144308,OUT013
DRF48,1084.5454648437976,OUT010
FDQ47,689.5158516541994,OUT046
DRN36,1675.0873340293745,OUT049
NCY06,2181.9036180296134,OUT035
FDE52,1663.2306865244532,OUT035
NCB54,1951.5756118333584,OUT045
NCF31,2546.239596163816,OUT035
FDJ08,4413.585019064105,OUT027
NCC07,1812.2762632008073,OUT017
NCD19,2342.7034487187534,OUT027
FDL46,2022.1396853056851,OUT049
FDM20,3780.5754666105245,OUT045
NCI06,934.3067485842563,OUT010
DRM11,4160.270492889238,OUT035
NCH07,2213.060353488339,OUT018
FDS23,2094.3272024087196,OUT013
FDO49,641.9469181903322,OUT018
FDS35,1196.479565269576,OUT049
DRK39,1280.9666042810395,OUT045
DRI39,1075.729782520252,OUT049
FDV04,2630.921612962101,OUT017
NCN14,2988.5356960109443,OUT035
FDH08,3661.6313108438817,OUT013
FDS20,2885.507570945143,OUT046
FDV40,1369.7793692708617,OUT049
FDZ48,-107.820116418123,OUT010
FDS24,2924.2097057282845,OUT027
FDK44,2840.956317654301,OUT049
FDS48,2340.527777307436,OUT045
FDK26,1103.414990515656,OUT010
FDD23,2950.528984033288,OUT045
NCH54,2635.890050431944,OUT017
NCP14,-211.83128834317483,OUT010
FDM60,-1135.1777284787315,OUT010
FDV24,2493.0336984309465,OUT017
FDH08,3322.653310587039,OUT018
FDS12,3460.2448434545454,OUT027
FDR39,4281.005251636801,OUT027
FDP12,2153.8709527461906,OUT027
DRF60,5105.257079860374,OUT027
FDC09,1870.2914123427122,OUT035
FDF50,2826.8864287067986,OUT018
FDG28,3989.5441160082205,OUT035
NCE19,1029.2616402295062,OUT017
NCM53,-160.12591777748673,OUT010
NCN18,1861.6861668568088,OUT049
FDF32,3267.263670656576,OUT035
FDF11,3824.1462646387567,OUT013
DRI59,3603.6700894653063,OUT049
NCG54,2792.526091967671,OUT035
FDM44,1662.8269440831173,OUT046
FDT57,3433.637998671555,OUT018
FDV24,2386.9107612465446,OUT046
FDI50,1732.5571236649403,OUT019
FDS09,1077.4247235214352,OUT035
NCC31,3874.9155547735445,OUT027
FDQ07,1580.8675150738623,OUT019
FDC22,3144.598841463782,OUT017
FDZ56,2690.6327945905296,OUT046
FDZ40,-930.4519208264751,OUT019
FDS46,3393.087227428488,OUT027
DRD24,2172.6027809354528,OUT045
FDV45,3088.2117318716096,OUT017
FDL26,2408.1515135811355,OUT045
FDA56,1726.5034523744798,OUT018
FDN27,1906.604865269941,OUT046
FDM20,3927.154936029377,OUT049
FDO16,1488.7396810837624,OUT017
FDL03,3269.5893114011765,OUT035
FDE58,1880.4715701741252,OUT046
FDI02,3280.5714134283307,OUT027
NCC55,-1211.555482761456,OUT019
FDR03,3011.494261633888,OUT018
