Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1755.581056,OUT049
FDW14,1605.220199,OUT017
NCN55,1941.828244,OUT010
FDQ58,2371.235661,OUT017
FDY38,3677.817706,OUT027
FDH56,1913.457593,OUT046
FDL48,1555.942333,OUT018
FDC48,2221.388867,OUT027
FDN33,1703.501515,OUT045
FDA36,2900.873485,OUT017
FDT44,1913.457593,OUT017
FDQ56,1605.220199,OUT045
NCC54,1941.828244,OUT019
FDU11,2022.925513,OUT049
DRL59,1555.942333,OUT013
FDM24,2371.235661,OUT049
FDI57,2950.983222,OUT045
DRC12,2900.873485,OUT018
NCM42,2371.749724,OUT027
FDA46,1781.052691,OUT010
FDA31,2705.234654,OUT013
NCJ31,3061.649038,OUT035
FDG52,1555.942333,OUT046
NCL19,946.2391259,OUT019
FDS10,2796.558798,OUT035
FDX22,1941.828244,OUT010
NCF19,1555.942333,OUT035
NCE06,2513.690243,OUT046
DRC27,3061.649038,OUT046
FDE21,1913.457593,OUT035
NCR42,436.1215387,OUT019
FDX51,2900.873485,OUT018
NCR06,1555.942333,OUT018
FDU31,3677.817706,OUT027
FDU59,2513.690243,OUT017
FDR03,3677.817706,OUT027
FDS49,2221.388867,OUT027
FDD48,793.6367986,OUT010
NCF18,2900.873485,OUT017
NCD43,2371.749724,OUT027
NCD54,2146.835239,OUT018
FDY19,793.6367986,OUT010
NCY54,2705.234654,OUT017
NCL19,2371.235661,OUT018
FDP23,1941.828244,OUT010
FDC26,1913.457593,OUT013
FDR14,436.1215387,OUT010
NCS41,2900.873485,OUT035
FDF41,3061.649038,OUT035
FDU34,2066.05992,OUT046
DRH11,1555.942333,OUT046
FDM03,1755.581056,OUT013
FDS31,2796.558798,OUT017
FDJ20,2022.925513,OUT017
FDV44,3517.042153,OUT027
FDG02,2900.873485,OUT049
FDA09,2796.558798,OUT013
FDT04,1555.942333,OUT013
FDL58,1941.828244,OUT019
FDE52,1605.220199,OUT045
FDW12,2371.235661,OUT035
FDL51,3061.649038,OUT017
