Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1816.569193,OUT049
FDW14,1623.236124,OUT017
NCN55,1925.991283,OUT010
FDQ58,2399.848804,OUT017
FDY38,3634.438887,OUT027
FDH56,1986.226356,OUT046
FDL48,1531.924435,OUT018
FDC48,2126.929883,OUT027
FDN33,1715.881031,OUT045
FDA36,2869.923632,OUT017
FDT44,1986.226356,OUT017
FDQ56,1623.236124,OUT045
NCC54,1925.991283,OUT019
FDU11,2032.474752,OUT049
DRL59,1577.980316,OUT013
FDM24,2399.848804,OUT049
FDI57,2935.18259,OUT045
DRC12,2823.867751,OUT018
NCM42,2415.303887,OUT027
FDA46,1710.425595,OUT010
FDA31,2768.182302,OUT013
NCJ31,3085.48932,OUT035
FDG52,1577.980316,OUT046
NCL19,946.3627051,OUT019
FDS10,2815.942669,OUT035
FDX22,1925.991283,OUT010
NCF19,1577.980316,OUT035
NCE06,2483.776704,OUT046
DRC27,3085.48932,OUT046
FDE21,1986.226356,OUT035
NCR42,418.4822792,OUT019
FDX51,2823.867751,OUT018
NCR06,1531.924435,OUT018
FDU31,3634.438887,OUT027
FDU59,2549.019566,OUT017
FDR03,3582.918387,OUT027
FDS49,2126.929883,OUT027
FDD48,826.7283193,OUT010
NCF18,2869.923632,OUT017
NCD43,2365.51876,OUT027
NCD54,2059.804861,OUT018
FDY19,826.7283193,OUT010
NCY54,2768.182302,OUT017
NCL19,2269.553345,OUT018
FDP23,1925.991283,OUT010
FDC26,1928.663372,OUT013
FDR14,418.4822792,OUT010
NCS41,2869.923632,OUT035
FDF41,3085.48932,OUT035
FDU34,2032.474752,OUT046
DRH11,1577.980316,OUT046
FDM03,1816.569193,OUT013
FDS31,2815.942669,OUT017
FDJ20,2032.474752,OUT017
FDV44,3418.873199,OUT027
FDG02,2869.923632,OUT049
FDA09,2815.942669,OUT013
FDT04,1577.980316,OUT013
FDL58,1925.991283,OUT019
FDE52,1667.410909,OUT045
FDW12,2315.609225,OUT035
FDL51,3085.48932,OUT017
NCY42,2654.810309,OUT027
FDR07,1715.881031,OUT017
FDN40,2399.848804,OUT045
FDB35,2216.360476,OUT027
FDA22,2549.019566,OUT017
NCL06,3085.48932,OUT046
FDI35,2815.942669,OUT013
NCW42,3085.48932,OUT045
NCX06,2815.942669,OUT049
FDC37,2365.51876,OUT027
FDZ14,1986.418872,OUT018
DRG49,3085.48932,OUT049
NCG06,3085.48932,OUT045
DRC36,2768.182302,OUT045
FDV21,872.9767154,OUT019
FDB53,2315.609225,OUT046
DRP47,1925.991283,OUT019
FDA14,2315.609225,OUT013
DRC24,2399.848804,OUT035
FDW21,1727.099512,OUT018
NCH29,1715.881031,OUT046
FDU58,2869.923632,OUT013
FDY27,2768.182302,OUT017
FDV56,1866.35432,OUT035
FDT59,3085.48932,OUT046
FDB23,3085.48932,OUT046
FDR49,1577.980316,OUT045
FDB03,1925.991283,OUT010
FDN39,2549.019566,OUT045
FDX02,3634.438887,OUT027
FDQ16,2365.51876,OUT027
FDU35,1727.099512,OUT018
NCT29,2032.474752,OUT013
FDZ27,1577.980316,OUT046
FDN57,2105.860742,OUT017
FDA03,2269.553345,OUT018
FDZ36,2869.923632,OUT045
NCU05,1577.980316,OUT013
FDT39,2353.792923,OUT018
FDK60,1715.881031,OUT017
FDZ25,2666.242972,OUT017
FDG12,2032.474752,OUT046
DRB01,1710.425595,OUT019
NCC43,3634.438887,OUT027
FDX13,1925.991283,OUT019
FDM22,1577.980316,OUT049
FDJ03,2126.929883,OUT027
FDU14,3039.433439,OUT018
FDB33,1240.350767,OUT010
FDP27,2869.923632,OUT046
FDO38,418.4822792,OUT010
FDE28,3634.438887,OUT027
FDO27,1715.881031,OUT035
DRL23,2365.51876,OUT027
FDS28,1577.980316,OUT046
FDX24,1667.410909,OUT013
FDZ02,1715.881031,OUT035
FDL46,1986.226356,OUT045
FDS60,3364.892236,OUT027
NCO06,1577.980316,OUT017
FDO16,1623.236124,OUT035
FDC60,1623.236124,OUT049
FDA48,3039.433439,OUT018
FDZ36,3418.873199,OUT027
FDK27,2032.474752,OUT045
FDW23,1531.924435,OUT018
FDM14,1820.298439,OUT018
FDM14,1816.569193,OUT013
FDW60,2769.886788,OUT018
FDE21,1986.226356,OUT013
NCM42,1866.35432,OUT035
FDY59,556.3829938,OUT010
