"Item_Identifier","Item_Outlet_Sales","Outlet_Identifier"
"FDW58",1083.99267578125,"OUT049"
"FDW14",2091.72143554688,"OUT017"
"NCN55",1804.77587890625,"OUT010"
"FDQ58",1344.32482910156,"OUT017"
"FDY38",2077.92163085938,"OUT027"
"FDH56",1083.99267578125,"OUT046"
"FDL48",2091.72143554688,"OUT018"
"FDC48",2091.72143554688,"OUT027"
"FDN33",2091.72143554688,"OUT045"
"FDA36",1344.32482910156,"OUT017"
"FDT44",1083.99267578125,"OUT017"
"FDQ56",2091.72143554688,"OUT045"
"NCC54",2077.92163085938,"OUT019"
"FDU11",1083.99267578125,"OUT049"
"DRL59",2091.72143554688,"OUT013"
"FDM24",1344.32482910156,"OUT049"
"FDI57",1562.28894042969,"OUT045"
"DRC12",1562.28894042969,"OUT018"
"NCM42",1854.62377929688,"OUT027"
"FDA46",1562.28894042969,"OUT010"
"FDA31",1344.32482910156,"OUT013"
"NCJ31",1804.77587890625,"OUT035"
"FDG52",2091.72143554688,"OUT046"
"NCL19",1357.13854980469,"OUT019"
"FDS10",1344.32482910156,"OUT035"
"FDX22",1562.28894042969,"OUT010"
"NCF19",2091.72143554688,"OUT035"
"NCE06",1344.32482910156,"OUT046"
"DRC27",1804.77587890625,"OUT046"
"FDE21",1083.99267578125,"OUT035"
"NCR42",2077.92163085938,"OUT019"
"FDX51",1562.28894042969,"OUT018"
"NCR06",2091.72143554688,"OUT018"
"FDU31",2077.92163085938,"OUT027"
"FDU59",1344.32482910156,"OUT017"
"FDR03",1835.43481445312,"OUT027"
"FDS49",2091.72143554688,"OUT027"
"FDD48",1083.99267578125,"OUT010"
"NCF18",1562.28894042969,"OUT017"
"NCD43",1854.62377929688,"OUT027"
"NCD54",1083.99267578125,"OUT018"
"FDY19",1083.99267578125,"OUT010"
"NCY54",1344.32482910156,"OUT017"
"NCL19",1083.99267578125,"OUT018"
"FDP23",1562.28894042969,"OUT010"
"FDC26",1083.99267578125,"OUT013"
