Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1366.643799,OUT049
FDW14,1657.003906,OUT017
NCN55,1629.833008,OUT010
FDQ58,1411.728638,OUT017
FDY38,1843.874146,OUT027
FDH56,1273.710815,OUT046
FDL48,1528.180908,OUT018
FDC48,1953.671753,OUT027
FDN33,1676.537842,OUT045
FDA36,1459.259399,OUT017
FDT44,1320.561523,OUT017
FDQ56,1643.865479,OUT045
NCC54,1629.449219,OUT019
FDU11,1354.568604,OUT049
DRL59,1662.349121,OUT013
FDM24,1435.386108,OUT049
FDI57,1510.078125,OUT045
DRC12,1424.803101,OUT018
NCM42,1611.463257,OUT027
FDA46,1578.477295,OUT010
FDA31,1459.046509,OUT013
NCJ31,1532.181763,OUT035
FDG52,1605.90332,OUT046
NCL19,1484.770996,OUT019
FDS10,1498.25,OUT035
FDX22,1593.986328,OUT010
NCF19,1605.391479,OUT035
NCE06,1360.476318,OUT046
DRC27,1529.570435,OUT046
FDE21,1363.843628,OUT035
NCR42,1651.24707,OUT019
FDX51,1398.200073,OUT018
NCR06,1533.075195,OUT018
FDU31,1833.932983,OUT027
FDU59,1405.14624,OUT017
FDR03,1859.771362,OUT027
FDS49,1958.646118,OUT027
FDD48,1429.132813,OUT010
NCF18,1436.524048,OUT017
NCD43,1591.626465,OUT027
NCD54,1282.374878,OUT018
FDY19,1422.770874,OUT010
NCY54,1377.883789,OUT017
NCL19,1313.220093,OUT018
FDP23,1602.567383,OUT010
FDC26,1351.719849,OUT013
FDR14,1713.611572,OUT010
NCS41,1493.119385,OUT035
FDF41,1551.830933,OUT035
FDU34,1342.964111,OUT046
DRH11,1590.061035,OUT046
FDM03,1365.000122,OUT013
FDS31,1476.434692,OUT017
FDJ20,1306.74353,OUT017
FDV44,1788.016113,OUT027
FDG02,1500.700806,OUT049
FDA09,1497.246948,OUT013
FDT04,1643.597656,OUT013
FDL58,1673.15918,OUT019
FDE52,1712.54834,OUT045
FDW12,1386.713623,OUT035
FDL51,1493.098755,OUT017
NCY42,1669.55957,OUT027
FDR07,1653.441406,OUT017
FDN40,1408.846313,OUT045
FDB35,1980.602417,OUT027
FDA22,1408.658325,OUT017
NCL06,1544.944214,OUT046
FDI35,1513.738281,OUT013
NCW42,1508.978027,OUT045
NCX06,1473.927002,OUT049
FDC37,1617.769165,OUT027
FDZ14,1244.772095,OUT018
DRG49,1554.404785,OUT049
NCG06,1569.749634,OUT045
DRC36,1455.973267,OUT045
FDV21,1457.728516,OUT019
FDB53,1381.973633,OUT046
DRP47,1666.068237,OUT019
FDA14,1433.69104,OUT013
DRC24,1420.028076,OUT035
FDW21,1240.805786,OUT018
NCH29,1676.152344,OUT046
FDU58,1531.639038,OUT013
FDY27,1455.865967,OUT017
FDV56,1338.624146,OUT035
FDT59,1539.921997,OUT046
FDB23,1529.705078,OUT046
FDR49,1590.286499,OUT045
FDB03,1631.437744,OUT010
FDN39,1435.532349,OUT045
FDX02,1851.117432,OUT027
FDQ16,1618.792358,OUT027
FDU35,1625.65918,OUT018
NCT29,1361.787109,OUT013
FDZ27,1609.546265,OUT046
FDN57,1349.820557,OUT017
FDA03,1323.574097,OUT018
FDZ36,1464.320557,OUT045
NCU05,1682.782837,OUT013
FDT39,1307.008789,OUT018
FDK60,1690.875244,OUT017
FDZ25,1448.717773,OUT017
FDG12,1360.036621,OUT046
DRB01,1575.41272,OUT019
NCC43,1854.810669,OUT027
FDX13,1647.929443,OUT019
FDM22,1666.02063,OUT049
FDJ03,1927.807495,OUT027
FDU14,1493.842041,OUT018
FDB33,1518.923462,OUT010
FDP27,1424.052612,OUT046
FDO38,1737.553345,OUT010
FDE28,1840.352295,OUT027
FDO27,1685.104004,OUT035
DRL23,1629.104614,OUT027
FDS28,1579.453369,OUT046
FDX24,1730.70874,OUT013
FDZ02,1695.592285,OUT035
FDL46,1331.764648,OUT045
FDS60,1767.681763,OUT027
NCO06,1539.645996,OUT017
FDO16,1684.48877,OUT035
FDC60,1673.577026,OUT049
FDA48,1446.617188,OUT018
FDZ36,1791.520752,OUT027
FDK27,1354.091064,OUT045
FDW23,1495.045044,OUT018
FDM14,1260.201782,OUT018
FDM14,1370.821655,OUT013
FDW60,1389.089844,OUT018
FDE21,1385.253296,OUT013
NCM42,1311.846313,OUT035
FDY59,1764.137329,OUT010
DRI49,1692.779541,OUT049
FDT28,1503.325439,OUT019
FDQ22,1531.61084,OUT018
FDR60,1684.824707,OUT049
FDC50,1785.348389,OUT019
FDV24,1447.098267,OUT013
DRF48,1555.459473,OUT010
FDQ47,1528.964233,OUT046
DRN36,1745.104004,OUT049
NCY06,1362.22522,OUT035
FDE52,1729.10083,OUT035
NCB54,1314.022705,OUT045
NCF31,1369.876465,OUT035
FDJ08,1789.173462,OUT027
NCC07,1267.054932,OUT017
NCD19,1942.247681,OUT027
FDL46,1376.001343,OUT049
FDM20,1587.070801,OUT045
NCI06,1540.702515,OUT010
DRM11,1581.758667,OUT035
NCH07,1302.859863,OUT018
FDS23,1377.899048,OUT013
FDO49,1560.811035,OUT018
FDS35,1651.643311,OUT049
DRK39,1674.097412,OUT045
DRI39,1662.481323,OUT049
FDV04,1365.880493,OUT017
NCN14,1460.756104,OUT035
FDH08,1551.999146,OUT013
FDS20,1436.450439,OUT046
FDV40,1718.674194,OUT049
FDZ48,1402.135254,OUT010
FDS24,1974.831909,OUT027
FDK44,1483.20105,OUT049
FDS48,1412.263794,OUT045
FDK26,1567.6875,OUT010
FDD23,1464.177856,OUT045
NCH54,1367.653198,OUT017
NCP14,1352.490845,OUT010
FDM60,1696.018677,OUT010
FDV24,1390.192749,OUT017
FDH08,1434.513062,OUT018
FDS12,1622.289307,OUT027
FDR39,1777.098633,OUT027
FDP12,1889.46521,OUT027
DRF60,1894.804688,OUT027
FDC09,1314.294067,OUT035
FDF50,1434.835938,OUT018
FDG28,1567.415039,OUT035
NCE19,1551.374268,OUT017
NCM53,1384.265259,OUT010
NCN18,1313.020386,OUT049
FDF32,1544.012573,OUT035
FDF11,1620.548828,OUT013
DRI59,1565.101685,OUT049
NCG54,1446.543091,OUT035
FDM44,1274.92395,OUT046
FDT57,1475.820679,OUT018
FDV24,1392.653198,OUT046
FDI50,1623.820313,OUT019
FDS09,1597.446899,OUT035
NCC31,1702.195068,OUT027
FDQ07,1621.275146,OUT019
FDC22,1451.054077,OUT017
FDZ56,1414.843384,OUT046
FDZ40,1706.336182,OUT019
FDS46,1645.746216,OUT027
DRD24,1369.480713,OUT045
FDV45,1463.039673,OUT017
FDL26,1420.998169,OUT045
FDA56,1257.604248,OUT018
FDN27,1345.897705,OUT046
FDM20,1620.42749,OUT049
FDO16,1651.350342,OUT017
FDL03,1535.695923,OUT035
FDE58,1343.12793,OUT046
FDI02,1636.303589,OUT027
NCC55,1690.230347,OUT019
FDR03,1461.945313,OUT018
FDB14,1671.091553,OUT017
FDR45,1618.425659,OUT013
NCN07,1325.930054,OUT017
FDM51,1417.237793,OUT019
FDT52,1839.850708,OUT027
FDL26,1402.923584,OUT046
NCZ42,1549.229492,OUT046
DRI47,1503.524292,OUT019
FDW40,1409.048096,OUT013
FDN34,1435.622437,OUT046
FDS01,1491.925537,OUT035
NCG55,1340.854248,OUT045
FDC11,1680.150146,OUT035
FDX35,1444.466675,OUT018
NCB06,1380.822266,OUT046
FDR09,1670.008301,OUT019
